time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,57,475,2000,240,2.5,300,61
4.5,4.5,dur,5,10,9,75,2000,240,2.5,300,92
9.0,4.5,dur,5,15,6,50,2000,240,2.5,300,117
13.5,4.5,dur,5,20,39,325,2000,240,2.5,300,157
18.0,6.3,dur,7,27,18,150,2000,240,4.3,516,22
24.3,4.5,dur,5,32,18,150,2000,240,2.5,300,30
28.8,4.5,dur,5,37,180,1500,2000,240,2.5,300,89
33.3,6.3,dur,7,44,57,475,2000,240,4.3,516,158
39.6,4.5,dur,5,49,0,0,2000,240,2.5,300,46
44.1,4.5,dur,5,54,0,0,2000,240,2.5,300,123
48.6,4.5,dur,5,59,84,700,2000,240,2.5,300,54
53.1,7.2,dur,8,67,6,50,2000,240,5.2,624,51
60.3,6.3,dur,7,74,6,50,2000,240,4.3,516,4
66.6,5.4,dur,6,80,84,700,2000,240,3.4000000000000004,408,37
72.0,7.2,dur,8,88,27,225,2000,240,5.2,624,87
79.2,6.3,dur,7,95,123,1025,2000,240,4.3,516,49
85.5,4.5,dur,5,100,12,100,2000,240,2.5,300,145
90.0,4.5,dur,5,105,12,100,2000,240,2.5,300,151
94.5,5.4,dur,6,111,27,225,2000,240,3.4000000000000004,408,21
99.9,4.5,dur,5,116,0,0,2000,240,2.5,300,84
104.4,7.2,dur,8,124,9,75,2000,240,5.2,624,110
111.6,8.1,dur,9,133,12,100,2000,240,6.1,732,101
119.7,4.5,dur,5,138,0,0,2000,240,2.5,300,111
124.2,4.5,dur,5,143,123,1025,2000,240,2.5,300,32
128.7,6.3,dur,7,150,6,50,2000,240,4.3,516,47
135.0,5.4,dur,6,156,27,225,2000,240,3.4000000000000004,408,141
140.4,6.3,dur,7,163,18,150,2000,240,4.3,516,20
146.7,4.5,dur,5,168,39,325,2000,240,2.5,300,16
151.2,4.5,dur,5,173,39,325,2000,240,2.5,300,93
155.7,5.4,dur,6,179,27,225,2000,240,3.4000000000000004,408,139
161.1,4.5,dur,5,184,9,75,2000,240,2.5,300,62
165.6,8.1,dur,9,193,57,475,2000,240,6.1,732,25
173.7,6.3,dur,7,200,18,150,2000,240,4.3,516,31
180.0,5.4,dur,6,206,6,50,2000,240,3.4000000000000004,408,70
185.4,8.1,dur,9,215,0,0,2000,240,6.1,732,33
193.5,9.9,dur,11,226,0,0,2000,240,7.9,948,23
203.4,4.5,dur,5,231,27,225,2000,240,2.5,300,52
207.9,9.0,dur,10,241,180,1500,2000,240,7.0,840,80
216.9,4.5,dur,5,246,84,700,2000,240,2.5,300,150
221.4,5.4,dur,6,252,84,700,2000,240,3.4000000000000004,408,148
226.8,4.5,dur,5,257,18,150,2000,240,2.5,300,58
231.3,4.5,dur,5,262,0,0,2000,240,2.5,300,26
235.8,9.0,dur,10,272,12,100,2000,240,7.0,840,154
244.8,4.5,dur,5,277,180,1500,2000,240,2.5,300,95
249.3,4.5,dur,5,282,123,1025,2000,240,2.5,300,15
253.8,4.5,dur,5,287,57,475,2000,240,2.5,300,55
258.3,7.2,dur,8,295,123,1025,2000,240,5.2,624,6
265.5,5.4,dur,6,301,123,1025,2000,240,3.4000000000000004,408,138
270.9,5.4,dur,6,307,180,1500,2000,240,3.4000000000000004,408,63
276.3,5.4,dur,6,313,39,325,2000,240,3.4000000000000004,408,85
281.7,4.5,dur,5,318,57,475,2000,240,2.5,300,149
286.2,6.3,dur,7,325,84,700,2000,240,4.3,516,135
292.5,4.5,dur,5,330,9,75,2000,240,2.5,300,42
297.0,7.2,dur,8,338,9,75,2000,240,5.2,624,125
304.2,5.4,dur,6,344,180,1500,2000,240,3.4000000000000004,408,102
309.6,4.5,dur,5,349,12,100,2000,240,2.5,300,60
314.1,5.4,dur,6,355,39,325,2000,240,3.4000000000000004,408,38
319.5,4.5,dur,5,360,0,0,2000,240,2.5,300,143
