time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,0,0,2000,240,2.5,300,13
4.5,4.5,dur,5,10,123,1025,2000,240,2.5,300,124
9.0,4.5,dur,5,15,12,100,2000,240,2.5,300,151
13.5,6.3,dur,7,22,9,75,2000,240,4.3,516,145
19.8,4.5,dur,5,27,123,1025,2000,240,2.5,300,144
24.3,5.4,dur,6,33,27,225,2000,240,3.4000000000000004,408,7
29.7,4.5,dur,5,38,27,225,2000,240,2.5,300,78
34.2,5.4,dur,6,44,6,50,2000,240,3.4000000000000004,408,82
39.6,4.5,dur,5,49,12,100,2000,240,2.5,300,109
44.1,5.4,dur,6,55,180,1500,2000,240,3.4000000000000004,408,152
49.5,9.0,dur,10,65,39,325,2000,240,7.0,840,114
58.5,4.5,dur,5,70,123,1025,2000,240,2.5,300,126
63.0,5.4,dur,6,76,57,475,2000,240,3.4000000000000004,408,93
68.4,4.5,dur,5,81,6,50,2000,240,2.5,300,140
72.9,4.5,dur,5,86,39,325,2000,240,2.5,300,17
77.4,4.5,dur,5,91,6,50,2000,240,2.5,300,9
81.9,4.5,dur,5,96,18,150,2000,240,2.5,300,72
86.4,5.4,dur,6,102,18,150,2000,240,3.4000000000000004,408,115
91.8,4.5,dur,5,107,57,475,2000,240,2.5,300,21
96.3,9.0,dur,10,117,9,75,2000,240,7.0,840,102
105.3,4.5,dur,5,122,57,475,2000,240,2.5,300,12
109.8,5.4,dur,6,128,84,700,2000,240,3.4000000000000004,408,25
115.2,4.5,dur,5,133,12,100,2000,240,2.5,300,139
119.7,4.5,dur,5,138,27,225,2000,240,2.5,300,147
124.2,5.4,dur,6,144,12,100,2000,240,3.4000000000000004,408,155
129.6,4.5,dur,5,149,39,325,2000,240,2.5,300,101
134.1,4.5,dur,5,154,18,150,2000,240,2.5,300,98
138.6,4.5,dur,5,159,39,325,2000,240,2.5,300,43
143.1,4.5,dur,5,164,27,225,2000,240,2.5,300,56
147.6,10.8,dur,12,176,84,700,2000,240,8.8,1056,3
158.4,4.5,dur,5,181,57,475,2000,240,2.5,300,46
162.9,4.5,dur,5,186,0,0,2000,240,2.5,300,83
167.4,4.5,dur,5,191,9,75,2000,240,2.5,300,85
171.9,4.5,dur,5,196,18,150,2000,240,2.5,300,32
176.4,5.4,dur,6,202,180,1500,2000,240,3.4000000000000004,408,27
181.8,5.4,dur,6,208,0,0,2000,240,3.4000000000000004,408,116
187.2,4.5,dur,5,213,0,0,2000,240,2.5,300,0
191.7,4.5,dur,5,218,18,150,2000,240,2.5,300,45
196.2,11.7,dur,13,231,0,0,2000,240,9.7,1164,125
207.9,4.5,dur,5,236,180,1500,2000,240,2.5,300,137
212.4,8.1,dur,9,245,27,225,2000,240,6.1,732,30
220.5,4.5,dur,5,250,180,1500,2000,240,2.5,300,4
225.0,9.9,dur,11,261,84,700,2000,240,7.9,948,52
234.9,4.5,dur,5,266,0,0,2000,240,2.5,300,81
239.4,6.3,dur,7,273,12,100,2000,240,4.3,516,70
245.7,9.9,dur,11,284,180,1500,2000,240,7.9,948,65
255.6,4.5,dur,5,289,6,50,2000,240,2.5,300,76
260.1,9.0,dur,10,299,123,1025,2000,240,7.0,840,123
269.1,5.4,dur,6,305,84,700,2000,240,3.4000000000000004,408,64
274.5,5.4,dur,6,311,39,325,2000,240,3.4000000000000004,408,118
279.9,7.2,dur,8,319,0,0,2000,240,5.2,624,106
287.1,5.4,dur,6,325,57,475,2000,240,3.4000000000000004,408,26
292.5,4.5,dur,5,330,123,1025,2000,240,2.5,300,105
297.0,4.5,dur,5,335,84,700,2000,240,2.5,300,127
301.5,4.5,dur,5,340,6,50,2000,240,2.5,300,142
306.0,5.4,dur,6,346,9,75,2000,240,3.4000000000000004,408,77
311.4,5.4,dur,6,352,9,75,2000,240,3.4000000000000004,408,79
316.8,7.2,dur,8,360,0,0,2000,240,5.2,624,53
