time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,5.4,dur,6,6,27,225,2000,240,3.4000000000000004,408,60
5.4,4.5,dur,5,11,84,700,2000,240,2.5,300,149
9.9,6.3,dur,7,18,6,50,2000,240,4.3,516,124
16.2,4.5,dur,5,23,0,0,2000,240,2.5,300,1
20.7,4.5,dur,5,28,0,0,2000,240,2.5,300,4
25.2,6.3,dur,7,35,27,225,2000,240,4.3,516,141
31.5,4.5,dur,5,40,9,75,2000,240,2.5,300,134
36.0,4.5,dur,5,45,27,225,2000,240,2.5,300,6
40.5,6.3,dur,7,52,123,1025,2000,240,4.3,516,150
46.8,4.5,dur,5,57,39,325,2000,240,2.5,300,79
51.3,10.8,dur,12,69,12,100,2000,240,8.8,1056,83
62.1,4.5,dur,5,74,12,100,2000,240,2.5,300,112
66.6,4.5,dur,5,79,18,150,2000,240,2.5,300,42
71.1,5.4,dur,6,85,6,50,2000,240,3.4000000000000004,408,68
76.5,6.3,dur,7,92,18,150,2000,240,4.3,516,69
82.8,4.5,dur,5,97,0,0,2000,240,2.5,300,50
87.3,7.2,dur,8,105,123,1025,2000,240,5.2,624,58
94.5,4.5,dur,5,110,57,475,2000,240,2.5,300,95
99.0,7.2,dur,8,118,18,150,2000,240,5.2,624,57
106.2,4.5,dur,5,123,180,1500,2000,240,2.5,300,20
110.7,4.5,dur,5,128,57,475,2000,240,2.5,300,35
115.2,5.4,dur,6,134,84,700,2000,240,3.4000000000000004,408,64
120.6,5.4,dur,6,140,84,700,2000,240,3.4000000000000004,408,155
126.0,4.5,dur,5,145,39,325,2000,240,2.5,300,123
130.5,6.3,dur,7,152,6,50,2000,240,4.3,516,157
136.8,4.5,dur,5,157,39,325,2000,240,2.5,300,11
141.3,4.5,dur,5,162,9,75,2000,240,2.5,300,91
145.8,6.3,dur,7,169,9,75,2000,240,4.3,516,86
152.1,12.6,dur,14,183,27,225,2000,240,10.6,1272,67
164.7,4.5,dur,5,188,6,50,2000,240,2.5,300,32
169.2,9.0,dur,10,198,180,1500,2000,240,7.0,840,22
178.2,5.4,dur,6,204,123,1025,2000,240,3.4000000000000004,408,88
183.6,4.5,dur,5,209,12,100,2000,240,2.5,300,142
188.1,4.5,dur,5,214,123,1025,2000,240,2.5,300,77
192.6,5.4,dur,6,220,84,700,2000,240,3.4000000000000004,408,17
198.0,9.0,dur,10,230,180,1500,2000,240,7.0,840,105
207.0,6.3,dur,7,237,9,75,2000,240,4.3,516,7
213.3,4.5,dur,5,242,57,475,2000,240,2.5,300,120
217.8,6.3,dur,7,249,0,0,2000,240,4.3,516,131
224.1,4.5,dur,5,254,180,1500,2000,240,2.5,300,48
228.6,4.5,dur,5,259,180,1500,2000,240,2.5,300,53
233.1,4.5,dur,5,264,39,325,2000,240,2.5,300,97
237.6,4.5,dur,5,269,57,475,2000,240,2.5,300,145
242.1,4.5,dur,5,274,27,225,2000,240,2.5,300,12
246.6,5.4,dur,6,280,0,0,2000,240,3.4000000000000004,408,115
252.0,5.4,dur,6,286,57,475,2000,240,3.4000000000000004,408,129
257.4,4.5,dur,5,291,0,0,2000,240,2.5,300,24
261.9,4.5,dur,5,296,6,50,2000,240,2.5,300,61
266.4,4.5,dur,5,301,12,100,2000,240,2.5,300,74
270.9,9.0,dur,10,311,9,75,2000,240,7.0,840,62
279.9,4.5,dur,5,316,18,150,2000,240,2.5,300,93
284.4,5.4,dur,6,322,39,325,2000,240,3.4000000000000004,408,116
289.8,6.3,dur,7,329,84,700,2000,240,4.3,516,119
296.1,4.5,dur,5,334,18,150,2000,240,2.5,300,84
300.6,4.5,dur,5,339,123,1025,2000,240,2.5,300,107
305.1,7.2,dur,8,347,0,0,2000,240,5.2,624,109
312.3,4.5,dur,5,352,12,100,2000,240,2.5,300,130
316.8,7.2,dur,8,360,0,0,2000,240,5.2,624,118
