time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,6.3,dur,7,7,12,100,2000,240,4.3,516,59
6.3,4.5,dur,5,12,12,100,2000,240,2.5,300,121
10.8,5.4,dur,6,18,18,150,2000,240,3.4000000000000004,408,113
16.2,4.5,dur,5,23,0,0,2000,240,2.5,300,105
20.7,5.4,dur,6,29,18,150,2000,240,3.4000000000000004,408,50
26.1,6.3,dur,7,36,18,150,2000,240,4.3,516,19
32.4,4.5,dur,5,41,39,325,2000,240,2.5,300,138
36.9,6.3,dur,7,48,57,475,2000,240,4.3,516,16
43.2,4.5,dur,5,53,180,1500,2000,240,2.5,300,79
47.7,4.5,dur,5,58,27,225,2000,240,2.5,300,152
52.2,4.5,dur,5,63,39,325,2000,240,2.5,300,95
56.7,4.5,dur,5,68,84,700,2000,240,2.5,300,108
61.2,4.5,dur,5,73,0,0,2000,240,2.5,300,154
65.7,8.1,dur,9,82,12,100,2000,240,6.1,732,126
73.8,7.2,dur,8,90,39,325,2000,240,5.2,624,96
81.0,4.5,dur,5,95,6,50,2000,240,2.5,300,55
85.5,4.5,dur,5,100,123,1025,2000,240,2.5,300,83
90.0,9.9,dur,11,111,27,225,2000,240,7.9,948,22
99.9,4.5,dur,5,116,57,475,2000,240,2.5,300,75
104.4,4.5,dur,5,121,18,150,2000,240,2.5,300,15
108.9,4.5,dur,5,126,27,225,2000,240,2.5,300,82
113.4,7.2,dur,8,134,84,700,2000,240,5.2,624,128
120.6,4.5,dur,5,139,12,100,2000,240,2.5,300,25
125.1,4.5,dur,5,144,6,50,2000,240,2.5,300,9
129.6,4.5,dur,5,149,9,75,2000,240,2.5,300,32
134.1,6.3,dur,7,156,84,700,2000,240,4.3,516,132
140.4,7.2,dur,8,164,123,1025,2000,240,5.2,624,37
147.6,4.5,dur,5,169,84,700,2000,240,2.5,300,27
152.1,4.5,dur,5,174,39,325,2000,240,2.5,300,3
156.6,11.7,dur,13,187,9,75,2000,240,9.7,1164,69
168.3,6.3,dur,7,194,180,1500,2000,240,4.3,516,112
174.6,4.5,dur,5,199,6,50,2000,240,2.5,300,149
179.1,6.3,dur,7,206,57,475,2000,240,4.3,516,76
185.4,4.5,dur,5,211,57,475,2000,240,2.5,300,47
189.9,5.4,dur,6,217,9,75,2000,240,3.4000000000000004,408,119
195.3,4.5,dur,5,222,0,0,2000,240,2.5,300,8
199.8,5.4,dur,6,228,9,75,2000,240,3.4000000000000004,408,84
205.2,8.1,dur,9,237,39,325,2000,240,6.1,732,77
213.3,5.4,dur,6,243,0,0,2000,240,3.4000000000000004,408,64
218.7,5.4,dur,6,249,57,475,2000,240,3.4000000000000004,408,142
224.1,7.2,dur,8,257,0,0,2000,240,5.2,624,72
231.3,4.5,dur,5,262,123,1025,2000,240,2.5,300,44
235.8,4.5,dur,5,267,180,1500,2000,240,2.5,300,26
240.3,6.3,dur,7,274,180,1500,2000,240,4.3,516,85
246.6,6.3,dur,7,281,84,700,2000,240,4.3,516,156
252.9,4.5,dur,5,286,27,225,2000,240,2.5,300,31
257.4,8.1,dur,9,295,27,225,2000,240,6.1,732,114
265.5,6.3,dur,7,302,0,0,2000,240,4.3,516,49
271.8,4.5,dur,5,307,123,1025,2000,240,2.5,300,52
276.3,4.5,dur,5,312,6,50,2000,240,2.5,300,117
280.8,5.4,dur,6,318,0,0,2000,240,3.4000000000000004,408,65
286.2,6.3,dur,7,325,123,1025,2000,240,4.3,516,11
292.5,4.5,dur,5,330,18,150,2000,240,2.5,300,136
297.0,4.5,dur,5,335,0,0,2000,240,2.5,300,54
301.5,4.5,dur,5,340,6,50,2000,240,2.5,300,125
306.0,4.5,dur,5,345,180,1500,2000,240,2.5,300,157
310.5,7.2,dur,8,353,9,75,2000,240,5.2,624,39
317.7,6.3,dur,7,360,12,100,2000,240,4.3,516,102
