time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,6,50,2000,240,2.5,300,89
4.5,4.5,dur,5,10,84,700,2000,240,2.5,300,55
9.0,4.5,dur,5,15,0,0,2000,240,2.5,300,118
13.5,4.5,dur,5,20,57,475,2000,240,2.5,300,150
18.0,4.5,dur,5,25,84,700,2000,240,2.5,300,3
22.5,4.5,dur,5,30,27,225,2000,240,2.5,300,61
27.0,5.4,dur,6,36,0,0,2000,240,3.4000000000000004,408,105
32.4,5.4,dur,6,42,9,75,2000,240,3.4000000000000004,408,25
37.8,4.5,dur,5,47,27,225,2000,240,2.5,300,154
42.3,4.5,dur,5,52,6,50,2000,240,2.5,300,138
46.8,6.3,dur,7,59,180,1500,2000,240,4.3,516,103
53.1,6.3,dur,7,66,123,1025,2000,240,4.3,516,128
59.4,11.7,dur,13,79,18,150,2000,240,9.7,1164,85
71.1,4.5,dur,5,84,123,1025,2000,240,2.5,300,46
75.6,6.3,dur,7,91,0,0,2000,240,4.3,516,14
81.9,5.4,dur,6,97,0,0,2000,240,3.4000000000000004,408,11
87.3,4.5,dur,5,102,6,50,2000,240,2.5,300,1
91.8,8.1,dur,9,111,9,75,2000,240,6.1,732,116
99.9,8.1,dur,9,120,18,150,2000,240,6.1,732,73
108.0,4.5,dur,5,125,0,0,2000,240,2.5,300,37
112.5,7.2,dur,8,133,18,150,2000,240,5.2,624,96
119.7,4.5,dur,5,138,39,325,2000,240,2.5,300,23
124.2,6.3,dur,7,145,18,150,2000,240,4.3,516,113
130.5,4.5,dur,5,150,57,475,2000,240,2.5,300,58
135.0,4.5,dur,5,155,12,100,2000,240,2.5,300,136
139.5,9.9,dur,11,166,123,1025,2000,240,7.9,948,132
149.4,4.5,dur,5,171,9,75,2000,240,2.5,300,102
153.9,4.5,dur,5,176,57,475,2000,240,2.5,300,27
158.4,5.4,dur,6,182,57,475,2000,240,3.4000000000000004,408,71
163.8,9.0,dur,10,192,0,0,2000,240,7.0,840,30
172.8,4.5,dur,5,197,39,325,2000,240,2.5,300,12
177.3,5.4,dur,6,203,0,0,2000,240,3.4000000000000004,408,110
182.7,4.5,dur,5,208,84,700,2000,240,2.5,300,104
187.2,4.5,dur,5,213,39,325,2000,240,2.5,300,6
191.7,7.2,dur,8,221,123,1025,2000,240,5.2,624,74
198.9,4.5,dur,5,226,18,150,2000,240,2.5,300,70
203.4,4.5,dur,5,231,12,100,2000,240,2.5,300,72
207.9,6.3,dur,7,238,6,50,2000,240,4.3,516,52
214.2,6.3,dur,7,245,12,100,2000,240,4.3,516,31
220.5,4.5,dur,5,250,12,100,2000,240,2.5,300,40
225.0,5.4,dur,6,256,27,225,2000,240,3.4000000000000004,408,63
230.4,4.5,dur,5,261,180,1500,2000,240,2.5,300,127
234.9,4.5,dur,5,266,57,475,2000,240,2.5,300,98
239.4,8.1,dur,9,275,27,225,2000,240,6.1,732,21
247.5,4.5,dur,5,280,27,225,2000,240,2.5,300,18
252.0,7.2,dur,8,288,39,325,2000,240,5.2,624,48
259.2,5.4,dur,6,294,84,700,2000,240,3.4000000000000004,408,156
264.6,4.5,dur,5,299,123,1025,2000,240,2.5,300,24
269.1,4.5,dur,5,304,180,1500,2000,240,2.5,300,69
273.6,6.3,dur,7,311,6,50,2000,240,4.3,516,121
279.9,4.5,dur,5,316,39,325,2000,240,2.5,300,159
284.4,4.5,dur,5,321,180,1500,2000,240,2.5,300,78
288.9,5.4,dur,6,327,12,100,2000,240,3.4000000000000004,408,131
294.3,6.3,dur,7,334,9,75,2000,240,4.3,516,91
300.6,6.3,dur,7,341,84,700,2000,240,4.3,516,76
306.9,4.5,dur,5,346,9,75,2000,240,2.5,300,66
311.4,5.4,dur,6,352,180,1500,2000,240,3.4000000000000004,408,54
316.8,7.2,dur,8,360,0,0,2000,240,5.2,624,129
